137, 14330, 10
137.7, 14340, 10
138, 14350, 20
139, 14370, 9
139.35, 14379, 17
13th, 14396, 10
14, 14406, 478
14.0, 14884, 10
14.14, 14894, 10
14.16, 14904, 10
14.2, 14914, 10
14.3, 14924, 29
14.5, 14953, 9
14.50, 14962, 10
14.7, 14972, 10
14.8, 14982, 19
14.9, 15001, 9
140, 15010, 52
140.05, 15062, 9
140.08, 15071, 10
140.50, 15081, 10
140.60, 15091, 9
141, 15100, 30
141.33, 15130, 19
141.4, 15149, 9
141.43, 15158, 56
141.50, 15214, 29
141.55, 15243, 10
141.58, 15253, 19
141.60, 15272, 9
141.8, 15281, 10
141.80, 15291, 19
141.90, 15310, 10
142, 15320, 20
142.35, 15340, 39
142.50, 15379, 10
142.80, 15389, 8
144, 15397, 20
144.35, 15417, 18
145, 15435, 10
146, 15445, 18
147, 15463, 29
147.9, 15492, 9
148, 15501, 19
149, 15520, 20
149.19, 15540, 10
149.9, 15550, 20
14th, 15570, 32
15, 15602, 981
15.0, 16583, 10
15.1, 16593, 9
15.12, 16602, 9
15.13, 16611, 10
15.2, 16621, 10
15.29, 16631, 10
15.3, 16641, 10
15.4, 16651, 10
15.5, 16661, 10
15.7, 16671, 12
15.8, 16683, 10
15.9, 16693, 10
150, 16703, 216
150.4, 16919, 9
1500, 16928, 10
151, 16938, 19
151.6, 16957, 10
152.35, 16967, 28
153, 16995, 29
154, 17024, 9
155, 17033, 19
155.2, 17052, 10
155mm, 17062, 9
156, 17071, 37
158, 17108, 19
159, 17127, 9
159.69, 17136, 9
15th, 17145, 9
16, 17154, 486
16.0, 17640, 9
16.2, 17649, 19
16.3, 17668, 9
16.4, 17677, 18
16.5, 17695, 19
16.53, 17714, 10
16.6, 17724, 10
160, 17734, 101
1619, 17835, 10
163, 17845, 10
164, 17855, 9
1649, 17864, 10
165, 17874, 29
165th, 17903, 10
166, 17913, 9
167, 17922, 10
167.1, 17932, 10
168, 17942, 9
169, 17951, 28
169.5, 17979, 9
16th, 17988, 19
17, 18007, 545
17.1, 18552, 9
17.2, 18561, 18
17.4, 18579, 12
17.47, 18591, 10
17.5, 18601, 22
17.8, 18623, 9
17.9, 18632, 20
17.98, 18652, 10
170, 18662, 46
170.2, 18708, 10
171, 18718, 29
172, 18747, 9
173, 18756, 10
174, 18766, 19
175, 18785, 18
176, 18803, 20
177.9, 18823, 9
1770s, 18832, 10
178.37, 18842, 10
179, 18852, 9
179.27, 18861, 19
17s, 18880, 10
17th, 18890, 20
18, 18910, 630
18.1, 19540, 20
18.25, 19560, 10
18.27, 19570, 10
18.30, 19580, 18
18.4, 19598, 68
18.5, 19666, 20
18.50, 19686, 9
18.6, 19695, 10
180, 19705, 34
1800s, 19739, 10
181, 19749, 10
1812, 19759, 10
182.16, 19769, 10
1821, 19779, 10
183, 19789, 9
1830, 19798, 10
1831, 19808, 9
1835, 19817, 10
184, 19827, 28
184.2, 19855, 10
184.8, 19865, 10
185, 19875, 27
185.72, 19902, 10
185.99, 19912, 9
1857, 19921, 10
186.04, 19931, 9
186.45, 19940, 9
186.49, 19949, 9
186.53, 19958, 10
186.73, 19968, 10
186.81, 19978, 10
186.86, 19988, 10
1866, 19998, 10
187.10, 20008, 19
187.2, 20027, 9
1873, 20036, 9
1875, 20045, 10
188, 20055, 10
188.14, 20065, 10
188.27, 20075, 9
1883, 20084, 10
1885, 20094, 9
18th, 20103, 10
19, 20113, 478
19.2, 20591, 10
19.24, 20601, 10
19.3, 20611, 9
19.4, 20620, 19
19.76, 20639, 10
19.81, 20649, 9
19.85, 20658, 10
19.9, 20668, 10
190, 20678, 10
1900, 20688, 10
1905, 20698, 9
1908, 20707, 22
191, 20729, 10
191.5, 20739, 9
191.7, 20748, 10
191.8, 20758, 9
1910, 20767, 10
1914, 20777, 10
1917, 20787, 10
1918, 20797, 10
192, 20807, 10
1920, 20817, 28
1920s, 20845, 20
1922, 20865, 23
1923, 20888, 19
1925, 20907, 20
1926, 20927, 20
1927, 20947, 9
1929, 20956, 20
193, 20976, 9
1930, 20985, 10
1930s, 20995, 19
1933, 21014, 10
1935, 21024, 10
1937, 21034, 10
1939, 21044, 10
1940, 21054, 10
1941, 21064, 33
1942, 21097, 10
1943, 21107, 10
1944, 21117, 10
1945, 21127, 10
1946, 21137, 10
1947, 21147, 60
1949, 21207, 40
195, 21247, 19
1950, 21266, 44
1950s, 21310, 37
1952, 21347, 24
1953, 21371, 20
1954, 21391, 9
1955, 21400, 18
1957, 21418, 20
1958, 21438, 10
1959, 21448, 48
196.2, 21496, 9
196.6, 21505, 10
1960s, 21515, 66
1961, 21581, 19
1962, 21600, 20
1963, 21620, 27
1964, 21647, 63
1965, 21710, 46
1966, 21756, 86
1967, 21842, 30
1968, 21872, 47
1969, 21919, 70
197, 21989, 17
197.3, 22006, 9
1970, 22015, 70
1970s, 22085, 154
1971, 22239, 70
1972, 22309, 67
1973, 22376, 83
1974, 22459, 70
1975, 22529, 108
1976, 22637, 93
1977, 22730, 105
1978, 22835, 138
1979, 22973, 205
198, 23178, 13
1980, 23191, 220
1980s, 23411, 82
1981, 23493, 206
1982, 23699, 161
1983, 23860, 305
1984, 24165, 287
1985, 24452, 419
1986, 24871, 525
1987, 25396, 696
1988, 26092, 1262
1989, 27354, 335
199, 27689, 20
1990, 27709, 355
1990s, 28064, 80
1991, 28144, 152
1992, 28296, 185
1993, 28481, 47
1994, 28528, 10
1995, 28538, 10
1996, 28548, 10
1997, 28558, 26
19th, 28584, 48
2, 28632, 1305
2.0, 29937, 10
2.02, 29947, 9
2.04, 29956, 10
2.07, 29966, 20
2.08, 29986, 9
2.09, 29995, 9
2.1, 30004, 10
2.10, 30014, 10
2.11, 30024, 20
2.1190, 30044, 10
2.12, 30054, 10
2.1260, 30064, 10
2.13, 30074, 10
2.1340, 30084, 10
2.1348, 30094, 10
2.1490, 30104, 10
2.15, 30114, 9
2.1505, 30123, 10
2.16, 30133, 9
2.19, 30142, 28
2.2, 30170, 19
2.23, 30189, 10
2.26, 30199, 9
2.29, 30208, 29
2.3, 30237, 30
2.30, 30267, 10
2.32, 30277, 19
2.35, 30296, 18
2.36, 30314, 9
2.37, 30323, 10
2.4, 30333, 32
2.44, 30365, 10
2.45, 30375, 9
2.48, 30384, 10
2.5, 30394, 88
2.50, 30482, 29
2.53, 30511, 10
2.54, 30521, 20
2.56, 30541, 9
2.57, 30550, 10
2.6, 30560, 76
2.65, 30636, 10
2.66, 30646, 30
2.67, 30676, 9
2.69, 30685, 10
2.7, 30695, 29
2.72, 30724, 19
2.75, 30743, 8
2.79, 30751, 9
2.8, 30760, 75
2.81, 30835, 9
2.83, 30844, 9
2.84, 30853, 10
2.87, 30863, 10
2.88, 30873, 10
2.9, 30883, 9
20, 30892, 1108
20.6, 32000, 8
20.7, 32008, 29
200, 32037, 400
2000, 32437, 30
2003, 32467, 19
2007, 32486, 9
2009, 32495, 9
201, 32504, 29
201.0, 32533, 10
202, 32543, 9
2020, 32552, 10
2025, 32562, 16
203, 32578, 10
204.9, 32588, 10
205, 32598, 10
206, 32608, 10
208, 32618, 28
209.8, 32646, 10
20th, 32656, 63
21, 32719, 349
21.4, 33068, 20
21.5, 33088, 39
21.50, 33127, 9
21.7, 33136, 10
21.8, 33146, 19
211.4, 33165, 9
